text,testament,book,chapter,verse,duration_seconds,speaker_id,filename,everyvoice_utmos,everyvoice_asr_hyp,everyvoice_wer
"Bí ó ṣe ń bá mi sọ̀rọ̀, mo ti sùn lọ fọnfọn, bí mo ṣe da ojú bolẹ̀. Nígbà náà ni ó fi ọwọ́ kàn mí, ó sì gbé mi dúró lórí ẹsẹ̀ mi.",Old Testament,Daniel,8,18,11.81,SPEAKER_00,DAN_008_Verse_018.wav,2.359375,bí ó ṣe ń bá mi sọ̀rọ̀ mo ti sùn lọ fọnfọn bí mo ṣe da ojú bolẹ̀ nígbà náà ni ó fi ọwọ́ kàn mí ó sì gbé mi dúró lórí ẹsẹ̀ mi,0.20588235294117646
"Yẹra fún un, má ṣe rìn níbẹ̀; yàgò fún un kí o sì bá ọ̀nà tìrẹ lọ.",Old Testament,Proverbs,4,15,6.08,SPEAKER_00,PRO_004_Verse_015.wav,2.404296875,dẹra fún un má ṣe rìn níbẹ̀ yàgò fún un kí o sì bá ọ̀nà tìrẹ lọ,0.23529411764705882
"Ní ọjọ́ náà gan an ni Abrahamu mú Iṣmaeli ọmọ rẹ̀ àti àwọn ẹrú tí a bí ní ilé rẹ̀ àti àwọn tí ó fi owó rà, ó sì kọ wọ́n ní ilà. Bẹ́ẹ̀ ni ó sì kọ gbogbo ọkùnrin tí ń bẹ ní ilé rẹ̀ ní ilà gẹ́gẹ́ bí àṣẹ Ọlọ́run.",Old Testament,Genesis,17,23,16.93,SPEAKER_00,GEN_017_Verse_023.wav,2.224609375,ní ọjọ́ náà gan an ni abrahamu mú iṣmaeli ọmọ rẹ̀ àti àwọn ẹrú tí a bí ní ilé rẹ̀ àti àwọn tí ó fi owó rà ó sì kọ́ wọn ní ilà bẹ́ẹ̀ ni ó sì kọ́ gbogbo ọkùnrin tí ń bẹ ní ilé rẹ̀ ní ilà gẹ́gẹ́ bí àṣẹ ọ̀run,0.19230769230769232
"“ ‘Nítorí èyí ni Olúwa Olódùmarè wí: Èmi fúnra mi yóò wá àgùntàn mi kiri, èmi yóò sì ṣe àwárí wọn.",Old Testament,Ezekiel,34,11,9.73,SPEAKER_00,EZK_034_Verse_011.wav,2.5546875,nítorí èyí ni olúwa olódùmarè wí èmi fúnra mi yóò wá àgùntàn mi kiri èmi yóò sì ṣe àwárí wọn,0.38095238095238093
"“Èmi ni Olúwa Ọlọ́run yín, tí ó mú un yín jáde láti ilẹ̀ Ejibiti, láti oko ẹrú jáde wá.",Old Testament,Exodus,20,2,7.55,SPEAKER_00,EXO_020_Verse_002.wav,2.490234375,èmi ni olúwa ọlọ́run yín tí ó mú un yín jáde láti ilẹ̀ ejibiti láti oko ẹrú jáde wa,0.3157894736842105
"Elijah sì wí fún un pé, “Gbé ọmọ rẹ fún mi.” Ó sì yọ ọ́ jáde ní àyà rẹ̀, ó sì gbé e lọ sí iyàrá òkè ilé níbi tí òun ń gbé, ó sì tẹ́ ẹ sí orí ibùsùn tirẹ̀.",Old Testament,1 Kings,17,19,13.47,SPEAKER_00,1KI_017_Verse_019.wav,1.95703125,elijah sì wí fún un pé gbé ọmọ rẹ fún mi ó sì yọ ọ́ jáde ní aya rẹ̀ ó sì gbé e lọ sí iyàrá òkè ilé níbi ti òun ń gbé ó sì tẹ́ ẹ sí orí ibùsùn tirẹ̀,0.24390243902439024
Jẹ́ kí ibi padà sẹ́yìn sí àwọn tí ń sọ̀rọ̀ ìbàjẹ́ sí mi; pa wọ́n run nínú òtítọ́ rẹ.,Old Testament,Psalms,54,5,7.08,SPEAKER_00,PSA_054_Verse_005.wav,1.6103515625,jẹ́ kí ibi padà sẹ́yìn sí àwọn tí ń sọ̀rọ̀ ìbàjẹ́ sí mi pa wọ́n run nínú òtítọ́ rẹ,0.15789473684210525
Kí ìfẹ́ ará kí o wà títí.,New Testament,Hebrews,13,1,2.7,SPEAKER_00,HEB_013_Verse_001.wav,1.9375,kí ìfẹ́ ara kí ó wà títí,0.5714285714285714
"Olúwa yóò sì bú ramúramù jáde níwájú ogun rẹ̀: nítorí ibùdó rẹ̀ tóbi gidigidi; nítorí alágbára ní òun, tí n mú ọ̀rọ̀ rẹ̀ ṣẹ; nítorí ọjọ́ Olúwa tóbi ó sì ní ẹ̀rù gidigidi; ara ta ni ó lè gbà á? Fa ọkàn rẹ ya",Old Testament,Joel,2,11,19.89,SPEAKER_00,JOL_002_Verse_011.wav,2.498046875,olúwa yóò sì bu ramúramù jáde níwájú ogun rẹ̀ nítorí ibùdó rẹ̀ tóbi gidigidi nítorí alágbára ní òun tí ń mú ọ̀rọ̀ rẹ̀ ṣẹ nítorí ọjọ́ olúwa tóbi ó sì ní ẹ̀rù gidigidi ara ta ni ó lè gbà á,0.3181818181818182
"Mo sì rí ìlú mímọ́, Jerusalẹmu tuntun ń ti ọ̀run sọ̀kalẹ̀ wá láti ọ̀dọ̀ Ọlọ́run, tí a ti múra sílẹ̀ bí ìyàwó tí a ṣe lọ́ṣọ̀ọ́ fún ọkọ rẹ̀.",New Testament,Revelation,21,2,11.02,SPEAKER_00,REV_021_Verse_002.wav,2.263671875,mo sì rí ìlú mímọ́ jerusalẹmu tuntun ń ti ọ̀run sọ̀kalẹ̀ wá láti ọ̀dọ̀ ọlọ́run tí a ti múra sílẹ̀ bí ìyàwó tí a ṣe lọ́ṣọ̀ọ́ fún ọkọ rẹ̀,0.1724137931034483
